datetime,eq,pnl
2025-08-14 09:15:00+05:30,0.0,0.0
2025-08-14 09:18:00+05:30,0.0,-0.0
2025-08-14 09:21:00+05:30,0.0,0.0
2025-08-14 09:24:00+05:30,0.0,0.0
2025-08-14 09:27:00+05:30,0.0,0.0
2025-08-14 09:30:00+05:30,0.0,-0.0
2025-08-14 09:33:00+05:30,0.0,0.0
2025-08-14 09:36:00+05:30,0.0,0.0
2025-08-14 09:39:00+05:30,0.0,0.0
2025-08-14 09:42:00+05:30,0.0,0.0
2025-08-14 09:45:00+05:30,0.0,0.0
2025-08-14 09:48:00+05:30,0.0,-0.0
2025-08-14 09:51:00+05:30,0.0,0.0
2025-08-14 09:54:00+05:30,0.0,-0.0
2025-08-14 09:57:00+05:30,0.0,-0.0
2025-08-14 10:00:00+05:30,0.0,0.0
2025-08-14 10:03:00+05:30,0.0,-0.0
2025-08-14 10:06:00+05:30,0.0,0.0
2025-08-14 10:09:00+05:30,0.0,0.0
2025-08-14 10:12:00+05:30,0.0,0.0
2025-08-14 10:15:00+05:30,0.0,0.0
2025-08-14 10:18:00+05:30,0.0,0.0
2025-08-14 10:21:00+05:30,0.0,0.0
2025-08-14 10:24:00+05:30,0.0,0.0
2025-08-14 10:27:00+05:30,0.0,-0.0
2025-08-14 10:30:00+05:30,0.0,-0.0
2025-08-14 10:33:00+05:30,0.0,0.0
2025-08-14 10:36:00+05:30,0.0,-0.0
2025-08-14 10:39:00+05:30,0.0,0.0
2025-08-14 10:42:00+05:30,0.0,-0.0
2025-08-14 10:45:00+05:30,0.0,-0.0
2025-08-14 10:48:00+05:30,0.0,0.0
2025-08-14 10:51:00+05:30,0.0,-0.0
2025-08-14 10:54:00+05:30,0.0,-0.0
2025-08-14 10:57:00+05:30,0.0,0.0
2025-08-14 11:00:00+05:30,0.0,0.0
2025-08-14 11:03:00+05:30,0.0,0.0
2025-08-14 11:06:00+05:30,0.0,-0.0
2025-08-14 11:09:00+05:30,0.0,-0.0
2025-08-14 11:12:00+05:30,0.0,-0.0
2025-08-14 11:15:00+05:30,0.0,0.0
2025-08-14 11:18:00+05:30,0.0,0.0
2025-08-14 11:21:00+05:30,0.0,-0.0
2025-08-14 11:24:00+05:30,0.0,-0.0
2025-08-14 11:27:00+05:30,0.0,0.0
2025-08-14 11:30:00+05:30,0.0,-0.0
2025-08-14 11:33:00+05:30,0.0,-0.0
