symbol,datetime,open,high,low,close,volume
HDFCBANK,2025-08-14 09:15:00+05:30,1978.0,1981.5,1971.2,1977.9,153568
HDFCBANK,2025-08-14 09:16:00+05:30,1977.7,1980.6,1977.0,1980.2,75098
HDFCBANK,2025-08-14 09:17:00+05:30,1980.2,1983.6,1980.2,1983.2,29070
HDFCBANK,2025-08-14 09:18:00+05:30,1983.2,1984.9,1982.9,1984.3,40998
HDFCBANK,2025-08-14 09:19:00+05:30,1984.3,1984.3,1981.7,1981.8,47078
HDFCBANK,2025-08-14 09:20:00+05:30,1981.8,1981.8,1980.5,1981.0,21544
HDFCBANK,2025-08-14 09:21:00+05:30,1980.8,1982.2,1980.6,1981.7,17325
HDFCBANK,2025-08-14 09:22:00+05:30,1981.7,1983.5,1981.7,1983.2,8932
HDFCBANK,2025-08-14 09:23:00+05:30,1983.5,1984.5,1983.5,1983.7,32473
HDFCBANK,2025-08-14 09:24:00+05:30,1983.7,1985.0,1983.4,1985.0,33612
HDFCBANK,2025-08-14 09:25:00+05:30,1985.0,1986.5,1984.8,1986.3,54341
HDFCBANK,2025-08-14 09:26:00+05:30,1986.2,1986.2,1985.9,1986.2,17831
HDFCBANK,2025-08-14 09:27:00+05:30,1986.6,1986.6,1986.0,1986.2,15440
HDFCBANK,2025-08-14 09:28:00+05:30,1986.2,1988.2,1986.0,1988.2,25648
HDFCBANK,2025-08-14 09:29:00+05:30,1987.6,1987.6,1987.3,1987.3,13755
HDFCBANK,2025-08-14 09:30:00+05:30,1987.3,1987.3,1987.2,1987.2,6970
HDFCBANK,2025-08-14 09:31:00+05:30,1987.2,1987.5,1986.7,1987.5,17773
HDFCBANK,2025-08-14 09:32:00+05:30,1987.5,1988.0,1987.5,1988.0,10462
HDFCBANK,2025-08-14 09:33:00+05:30,1988.0,1988.0,1986.0,1987.6,28324
HDFCBANK,2025-08-14 09:34:00+05:30,1987.8,1988.0,1987.8,1987.8,13771
HDFCBANK,2025-08-14 09:35:00+05:30,1987.8,1988.9,1987.8,1988.5,18445
HDFCBANK,2025-08-14 09:36:00+05:30,1988.9,1989.8,1988.9,1989.8,32341
HDFCBANK,2025-08-14 09:37:00+05:30,1989.3,1990.5,1989.3,1990.5,20218
HDFCBANK,2025-08-14 09:38:00+05:30,1990.8,1991.6,1990.6,1991.1,33398
HDFCBANK,2025-08-14 09:39:00+05:30,1991.1,1992.2,1991.0,1992.2,27612
HDFCBANK,2025-08-14 09:40:00+05:30,1992.2,1992.5,1991.3,1991.7,45565
HDFCBANK,2025-08-14 09:41:00+05:30,1991.6,1992.5,1991.3,1992.1,27769
HDFCBANK,2025-08-14 09:42:00+05:30,1992.2,1992.9,1992.0,1992.6,18632
HDFCBANK,2025-08-14 09:43:00+05:30,1992.6,1993.7,1992.6,1993.0,37733
HDFCBANK,2025-08-14 09:44:00+05:30,1993.1,1993.4,1992.8,1993.0,12899
HDFCBANK,2025-08-14 09:45:00+05:30,1992.9,1994.8,1992.9,1994.5,44486
HDFCBANK,2025-08-14 09:46:00+05:30,1994.5,1994.6,1993.6,1993.6,60505
