symbol,datetime,open,high,low,close,volume
BANKNIFTY25AUGFUT,2025-08-14 09:15:00+05:30,55417.8,55449.2,55371.2,55425.2,14665
BANKNIFTY25AUGFUT,2025-08-14 09:16:00+05:30,55415.0,55420.8,55382.2,55408.6,2800
BANKNIFTY25AUGFUT,2025-08-14 09:17:00+05:30,55411.2,55416.0,55391.0,55400.0,2800
BANKNIFTY25AUGFUT,2025-08-14 09:18:00+05:30,55400.0,55409.4,55383.0,55409.4,1575
BANKNIFTY25AUGFUT,2025-08-14 09:19:00+05:30,55409.4,55409.4,55390.2,55390.2,1610
BANKNIFTY25AUGFUT,2025-08-14 09:20:00+05:30,55389.2,55392.4,55358.0,55365.0,5040
BANKNIFTY25AUGFUT,2025-08-14 09:21:00+05:30,55365.0,55375.8,55353.0,55360.0,3360
BANKNIFTY25AUGFUT,2025-08-14 09:22:00+05:30,55360.0,55400.0,55356.8,55390.0,1645
BANKNIFTY25AUGFUT,2025-08-14 09:23:00+05:30,55390.0,55414.8,55381.8,55397.6,3605
BANKNIFTY25AUGFUT,2025-08-14 09:24:00+05:30,55397.6,55420.4,55389.2,55415.6,3220
BANKNIFTY25AUGFUT,2025-08-14 09:25:00+05:30,55415.6,55448.0,55415.6,55433.6,1785
BANKNIFTY25AUGFUT,2025-08-14 09:26:00+05:30,55433.6,55433.8,55408.0,55425.2,1785
BANKNIFTY25AUGFUT,2025-08-14 09:27:00+05:30,55425.2,55430.0,55412.4,55412.4,1470
BANKNIFTY25AUGFUT,2025-08-14 09:28:00+05:30,55412.4,55460.4,55412.4,55446.8,3535
BANKNIFTY25AUGFUT,2025-08-14 09:29:00+05:30,55446.8,55460.0,55445.4,55455.8,1330
BANKNIFTY25AUGFUT,2025-08-14 09:30:00+05:30,55460.0,55478.2,55460.0,55462.4,2870
BANKNIFTY25AUGFUT,2025-08-14 09:31:00+05:30,55462.4,55470.0,55448.0,55448.0,1015
BANKNIFTY25AUGFUT,2025-08-14 09:32:00+05:30,55445.0,55460.0,55445.0,55449.2,1540
BANKNIFTY25AUGFUT,2025-08-14 09:33:00+05:30,55449.2,55460.0,55425.0,55449.0,2450
BANKNIFTY25AUGFUT,2025-08-14 09:34:00+05:30,55449.0,55455.0,55439.0,55455.0,770
BANKNIFTY25AUGFUT,2025-08-14 09:35:00+05:30,55455.0,55455.0,55438.8,55449.8,350
BANKNIFTY25AUGFUT,2025-08-14 09:36:00+05:30,55449.8,55483.0,55449.8,55482.4,3990
BANKNIFTY25AUGFUT,2025-08-14 09:37:00+05:30,55482.4,55500.0,55473.4,55490.0,10570
BANKNIFTY25AUGFUT,2025-08-14 09:38:00+05:30,55490.0,55500.0,55487.6,55494.0,4725
BANKNIFTY25AUGFUT,2025-08-14 09:39:00+05:30,55498.0,55513.0,55495.0,55513.0,4655
BANKNIFTY25AUGFUT,2025-08-14 09:40:00+05:30,55513.0,55525.0,55498.2,55518.4,5110
BANKNIFTY25AUGFUT,2025-08-14 09:41:00+05:30,55518.4,55525.0,55503.0,55525.0,2835
BANKNIFTY25AUGFUT,2025-08-14 09:42:00+05:30,55525.0,55558.4,55520.0,55550.4,30695
BANKNIFTY25AUGFUT,2025-08-14 09:43:00+05:30,55550.4,55560.0,55540.0,55550.0,5180
BANKNIFTY25AUGFUT,2025-08-14 09:44:00+05:30,55546.0,55560.0,55536.0,55556.0,6125
BANKNIFTY25AUGFUT,2025-08-14 09:45:00+05:30,55556.0,55588.0,55556.0,55566.0,15680
BANKNIFTY25AUGFUT,2025-08-14 09:46:00+05:30,55566.0,55580.0,55551.8,55563.6,12180
BANKNIFTY25AUGFUT,2025-08-14 09:47:00+05:30,55579.4,55579.4,55564.0,55576.6,1925
BANKNIFTY25AUGFUT,2025-08-14 09:48:00+05:30,55576.6,55578.0,55562.2,55570.0,3850
BANKNIFTY25AUGFUT,2025-08-14 09:49:00+05:30,55570.0,55574.0,55535.0,55557.8,4550
BANKNIFTY25AUGFUT,2025-08-14 09:50:00+05:30,55560.2,55562.8,55514.0,55514.0,3115
BANKNIFTY25AUGFUT,2025-08-14 09:51:00+05:30,55520.6,55542.4,55512.6,55542.4,2730
BANKNIFTY25AUGFUT,2025-08-14 09:52:00+05:30,55542.4,55559.2,55527.4,55558.0,1925
BANKNIFTY25AUGFUT,2025-08-14 09:53:00+05:30,55558.0,55560.0,55543.6,55549.2,2100
BANKNIFTY25AUGFUT,2025-08-14 09:54:00+05:30,55549.2,55558.0,55549.2,55555.0,1155
BANKNIFTY25AUGFUT,2025-08-14 09:55:00+05:30,55555.0,55560.0,55555.0,55557.0,455
BANKNIFTY25AUGFUT,2025-08-14 09:56:00+05:30,55557.0,55560.0,55533.0,55533.0,875
BANKNIFTY25AUGFUT,2025-08-14 09:57:00+05:30,55533.0,55544.6,55521.6,55540.6,1925
BANKNIFTY25AUGFUT,2025-08-14 09:58:00+05:30,55540.6,55540.6,55530.0,55530.0,700
BANKNIFTY25AUGFUT,2025-08-14 09:59:00+05:30,55530.0,55530.0,55500.2,55502.0,1785
BANKNIFTY25AUGFUT,2025-08-14 10:00:00+05:30,55502.0,55524.6,55502.0,55524.6,1260
BANKNIFTY25AUGFUT,2025-08-14 10:01:00+05:30,55524.6,55524.6,55500.2,55500.2,1190
BANKNIFTY25AUGFUT,2025-08-14 10:02:00+05:30,55500.2,55538.2,55500.2,55535.6,1890
